City Pair,Passenger Total,Year,Month_num,YYYY-MM
ADELAIDE-ALICE SPRINGS,14232,2000,7,2000-7
ADELAIDE-BRISBANE,18054,2000,7,2000-7
ADELAIDE-CANBERRA,8134,2000,7,2000-7
ADELAIDE-DARWIN,15129,2000,7,2000-7
ADELAIDE-MELBOURNE,112694,2000,7,2000-7
ADELAIDE-PERTH,29087,2000,7,2000-7
ADELAIDE-PORT LINCOLN,8007,2000,7,2000-7
ADELAIDE-SYDNEY,98715,2000,7,2000-7
ALBURY-SYDNEY,10244,2000,7,2000-7
ALICE SPRINGS-DARWIN,18171,2000,7,2000-7
ALICE SPRINGS-SYDNEY,14571,2000,7,2000-7
BALLINA-SYDNEY,7785,2000,7,2000-7
BRISBANE-CAIRNS,95597,2000,7,2000-7
BRISBANE-CANBERRA,22178,2000,7,2000-7
BRISBANE-DARWIN,16305,2000,7,2000-7
BRISBANE-HAMILTON ISLAND,8090,2000,7,2000-7
BRISBANE-MACKAY,18020,2000,7,2000-7
BRISBANE-MELBOURNE,149225,2000,7,2000-7
BRISBANE-NEWCASTLE,4542,2000,7,2000-7
BRISBANE-PERTH,5236,2000,7,2000-7
BRISBANE-PROSERPINE,6646,2000,7,2000-7
BRISBANE-ROCKHAMPTON,20924,2000,7,2000-7
BRISBANE-SYDNEY,299634,2000,7,2000-7
BRISBANE-TOWNSVILLE,47781,2000,7,2000-7
BROOME-PERTH,14708,2000,7,2000-7
CAIRNS-MELBOURNE,6131,2000,7,2000-7
CAIRNS-SYDNEY,71580,2000,7,2000-7
CAIRNS-TOWNSVILLE,12230,2000,7,2000-7
CANBERRA-MELBOURNE,60571,2000,7,2000-7
CANBERRA-SYDNEY,77672,2000,7,2000-7
COFFS HARBOUR-SYDNEY,13578,2000,7,2000-7
DARWIN-SYDNEY,17173,2000,7,2000-7
DEVONPORT-MELBOURNE,9121,2000,7,2000-7
DUBBO-SYDNEY,9942,2000,7,2000-7
GOLD COAST-SYDNEY,101496,2000,7,2000-7
HOBART-MELBOURNE,54163,2000,7,2000-7
HOBART-SYDNEY,8819,2000,7,2000-7
KALGOORLIE-PERTH,14734,2000,7,2000-7
KARRATHA-PERTH,12939,2000,7,2000-7
LAUNCESTON-MELBOURNE,29380,2000,7,2000-7
LAUNCESTON-SYDNEY,3597,2000,7,2000-7
MELBOURNE-BURNIE,6711,2000,7,2000-7
MELBOURNE-GOLD COAST,43555,2000,7,2000-7
MELBOURNE-MILDURA,9460,2000,7,2000-7
MELBOURNE-NEWCASTLE,4136,2000,7,2000-7
MELBOURNE-PERTH,76538,2000,7,2000-7
MELBOURNE-SYDNEY,476947,2000,7,2000-7
PERTH-PORT HEDLAND,6635,2000,7,2000-7
PERTH-SYDNEY,81869,2000,7,2000-7
SUNSHINE COAST-MELBOURNE,3195,2000,7,2000-7
SUNSHINE COAST-SYDNEY,10084,2000,7,2000-7
SYDNEY-WAGGA WAGGA,9193,2000,7,2000-7
ADELAIDE-ALICE SPRINGS,14620,2000,8,2000-8
ADELAIDE-BRISBANE,18575,2000,8,2000-8
ADELAIDE-CANBERRA,9543,2000,8,2000-8
ADELAIDE-DARWIN,15231,2000,8,2000-8
ADELAIDE-MELBOURNE,117022,2000,8,2000-8
ADELAIDE-PERTH,29786,2000,8,2000-8
ADELAIDE-PORT LINCOLN,7593,2000,8,2000-8
ADELAIDE-SYDNEY,98899,2000,8,2000-8
ALBURY-SYDNEY,12360,2000,8,2000-8
ALICE SPRINGS-DARWIN,18173,2000,8,2000-8
ALICE SPRINGS-SYDNEY,14432,2000,8,2000-8
BALLINA-SYDNEY,7840,2000,8,2000-8
BRISBANE-CAIRNS,100215,2000,8,2000-8
BRISBANE-CANBERRA,21707,2000,8,2000-8
BRISBANE-DARWIN,18174,2000,8,2000-8
BRISBANE-HAMILTON ISLAND,10038,2000,8,2000-8
BRISBANE-MACKAY,18238,2000,8,2000-8
BRISBANE-MELBOURNE,156374,2000,8,2000-8
BRISBANE-NEWCASTLE,4959,2000,8,2000-8
BRISBANE-PERTH,4410,2000,8,2000-8
BRISBANE-PROSERPINE,7004,2000,8,2000-8
BRISBANE-ROCKHAMPTON,22380,2000,8,2000-8
BRISBANE-SYDNEY,316419,2000,8,2000-8
BRISBANE-TOWNSVILLE,45858,2000,8,2000-8
BROOME-PERTH,14703,2000,8,2000-8
CAIRNS-MELBOURNE,5100,2000,8,2000-8
CAIRNS-SYDNEY,70329,2000,8,2000-8
CAIRNS-TOWNSVILLE,11757,2000,8,2000-8
CANBERRA-MELBOURNE,65698,2000,8,2000-8
CANBERRA-SYDNEY,85749,2000,8,2000-8
COFFS HARBOUR-SYDNEY,13632,2000,8,2000-8
DARWIN-SYDNEY,16515,2000,8,2000-8
DEVONPORT-MELBOURNE,9442,2000,8,2000-8
DUBBO-SYDNEY,10790,2000,8,2000-8
GOLD COAST-SYDNEY,98412,2000,8,2000-8
HOBART-MELBOURNE,58592,2000,8,2000-8
HOBART-SYDNEY,9334,2000,8,2000-8
KALGOORLIE-PERTH,15094,2000,8,2000-8
KARRATHA-PERTH,12798,2000,8,2000-8
LAUNCESTON-MELBOURNE,29691,2000,8,2000-8
LAUNCESTON-SYDNEY,3531,2000,8,2000-8
MELBOURNE-BURNIE,6488,2000,8,2000-8
MELBOURNE-GOLD COAST,50758,2000,8,2000-8
MELBOURNE-MILDURA,9624,2000,8,2000-8
MELBOURNE-NEWCASTLE,4124,2000,8,2000-8
MELBOURNE-PERTH,73488,2000,8,2000-8
MELBOURNE-SYDNEY,519409,2000,8,2000-8
PERTH-PORT HEDLAND,6839,2000,8,2000-8
PERTH-SYDNEY,76157,2000,8,2000-8
SUNSHINE COAST-MELBOURNE,3192,2000,8,2000-8
SUNSHINE COAST-SYDNEY,9363,2000,8,2000-8
SYDNEY-WAGGA WAGGA,9848,2000,8,2000-8
ADELAIDE-ALICE SPRINGS,13474,2000,9,2000-9
ADELAIDE-BRISBANE,20149,2000,9,2000-9
ADELAIDE-CANBERRA,10274,2000,9,2000-9
ADELAIDE-DARWIN,14137,2000,9,2000-9
ADELAIDE-MELBOURNE,123422,2000,9,2000-9
ADELAIDE-PERTH,38744,2000,9,2000-9
ADELAIDE-PORT LINCOLN,8358,2000,9,2000-9
ADELAIDE-SYDNEY,102834,2000,9,2000-9
ALBURY-SYDNEY,12912,2000,9,2000-9
ALICE SPRINGS-DARWIN,15306,2000,9,2000-9
ALICE SPRINGS-SYDNEY,12399,2000,9,2000-9
BALLINA-SYDNEY,8371,2000,9,2000-9
BRISBANE-CAIRNS,89739,2000,9,2000-9
BRISBANE-CANBERRA,24752,2000,9,2000-9
BRISBANE-DARWIN,16066,2000,9,2000-9
BRISBANE-HAMILTON ISLAND,12413,2000,9,2000-9
BRISBANE-MACKAY,18111,2000,9,2000-9
BRISBANE-MELBOURNE,181972,2000,9,2000-9
BRISBANE-NEWCASTLE,5668,2000,9,2000-9
BRISBANE-PERTH,6670,2000,9,2000-9
BRISBANE-PROSERPINE,7469,2000,9,2000-9
BRISBANE-ROCKHAMPTON,21048,2000,9,2000-9
BRISBANE-SYDNEY,389187,2000,9,2000-9
BRISBANE-TOWNSVILLE,48976,2000,9,2000-9
BROOME-PERTH,14428,2000,9,2000-9
CAIRNS-MELBOURNE,5584,2000,9,2000-9
CAIRNS-SYDNEY,67309,2000,9,2000-9
CAIRNS-TOWNSVILLE,11269,2000,9,2000-9
CANBERRA-MELBOURNE,63580,2000,9,2000-9
CANBERRA-SYDNEY,78717,2000,9,2000-9
COFFS HARBOUR-SYDNEY,12670,2000,9,2000-9
DARWIN-SYDNEY,14623,2000,9,2000-9
DEVONPORT-MELBOURNE,10159,2000,9,2000-9
DUBBO-SYDNEY,9551,2000,9,2000-9
GOLD COAST-SYDNEY,105638,2000,9,2000-9
HOBART-MELBOURNE,66879,2000,9,2000-9
HOBART-SYDNEY,11801,2000,9,2000-9
KALGOORLIE-PERTH,19806,2000,9,2000-9
KARRATHA-PERTH,15336,2000,9,2000-9
